retry_pass,model,model_label,job_id,trace_id,status,reward,error
first_retry,gemini-3.1-pro-preview,Gemini 3.1 Pro,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,ad150baa-5611-49d2-b2b6-cfe5fdbd3427,completed,1.0,
first_retry,gemini-3.1-pro-preview,Gemini 3.1 Pro,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,5ebd26c5-e786-4014-8188-d7a923b0ded1,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
first_retry,gemini-3.1-pro-preview,Gemini 3.1 Pro,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,824f5394-cd95-448c-9337-953f0e0ce1d2,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
first_retry,gemini-3.1-pro-preview,Gemini 3.1 Pro,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,9f058647-89f5-4983-9dfa-4182afb4da6d,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
first_retry,gemini-3.1-pro-preview,Gemini 3.1 Pro,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,0a391772-2dc8-48e9-8f3b-74fec024daf9,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
first_retry,gemini-3.1-pro-preview,Gemini 3.1 Pro,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,9c4d6ca6-ac92-4a45-8fce-b5fb4f6d9b35,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
first_retry,gemini-3.1-pro-preview,Gemini 3.1 Pro,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,30036b96-933a-4a16-80e7-bcc4b6ea0288,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
first_retry,gemini-3.1-pro-preview,Gemini 3.1 Pro,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,0c847d66-62ed-421e-abfd-7706d83eb332,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
first_retry,gemini-3.1-pro-preview,Gemini 3.1 Pro,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,1a4e7e12-7f17-479e-8869-f9160278739a,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
first_retry,gemini-3.1-pro-preview,Gemini 3.1 Pro,3b6fb416-2a59-4e0d-84f6-b2b8b810475e,8a0bb53d-78d3-4f5e-86cd-916d51181d53,error,0.0,"504 Gateway Time-out. {'message': '<html>\r\n<head><title>504 Gateway Time-out</title></head>\r\n<body>\r\n<center><h1>504 Gateway Time-out</h1></center>\r\n</body>\r\n</html>\r\n', 'status': 'Gateway Time-out'}"
