question_id,task,question_index,mean_reward,max_reward,min_reward,std_reward,models_nonzero
DBEVAL-V0-001,AnoleGeneParse,1,0.12462006079027356,0.8723404255319149,0.0,0.32971368922081523,1
DBEVAL-V0-002,AnoleGeneParse,2,0.06233062330623307,0.4363143631436315,0.0,0.16491132833193928,1
DBEVAL-V0-003,AnoleGeneParse,3,0.40350877192982454,1.0,0.0,0.4102918864369199,4
DBEVAL-V0-004,AnoleGeneParse,4,0.0702420503084955,0.34219269102990035,0.0,0.13223020649231185,2
DBEVAL-V0-005,AnoleGeneParse,5,0.47351524879614765,1.0,0.0,0.48199233741742387,4
DBEVAL-V0-006,AnoleGeneParse,6,0.23832092078537576,0.6090047393364929,0.0,0.24024921432851695,5
DBEVAL-V0-007,AnoleGeneParse,7,0.3264812575574365,0.8512696493349456,0.0,0.34545533085840163,5
DBEVAL-V0-008,AnoleGeneParse,8,0.3607825295723385,0.8964968152866242,0.0,0.31207192696710984,6
DBEVAL-V0-009,AnoleGeneParse,9,0.0,0.0,0.0,0.0,0
DBEVAL-V0-010,AnoleGeneParse,10,0.41177532960086694,1.0,0.0,0.428555245898211,5
DBEVAL-V0-011,AnoleGeneParse,11,0.5216515609264853,1.0,0.0,0.3794656721850439,5
DBEVAL-V0-012,AnoleGeneParse,12,0.7093837535014006,1.0,0.23100490196078427,0.28289623735133185,7
DBEVAL-V0-013,AnoleGeneParse,13,0.21221473239665392,0.954519613416714,0.0,0.3751522731351817,3
DBEVAL-V0-014,AnoleGeneParse,14,0.060824982521556756,0.20717781402936375,0.0,0.08790846766668266,3
DBEVAL-V0-015,AnoleGeneParse,15,0.5271993543179984,0.9,0.0,0.3962468260941113,5
DBEVAL-V0-016,AnoleGeneParse,16,0.35202252944188434,0.8082437275985663,0.0,0.3090897525749354,5
DBEVAL-V0-017,AnoleGeneParse,17,0.7050640825257892,0.9945295404814004,0.25382932166301975,0.2912359873926815,7
DBEVAL-V0-018,AnoleGeneParse,18,0.47017477203647423,0.9886968085106383,0.0,0.45279099567981324,5
DBEVAL-V0-019,AnoleGeneParse,19,0.41011009667024706,1.0,0.0,0.42553395328663346,4
DBEVAL-V0-020,AnoleGeneParse,20,0.6786160156946675,0.8807740324594258,0.5043695380774033,0.15077907775547544,7
DBEVAL-V0-021,AnolePromoterExpression,21,0.20476190476190473,0.6666666666666666,0.0,0.292928111158486,4
DBEVAL-V0-022,AnolePromoterExpression,22,0.09761904761904762,0.36666666666666664,0.0,0.1299674358888964,4
DBEVAL-V0-023,AnolePromoterExpression,23,0.29047619047619044,0.6,0.0,0.276193897077884,5
DBEVAL-V0-024,AnolePromoterExpression,24,0.23809523809523808,0.5666666666666667,0.0,0.21009572018537562,5
DBEVAL-V0-025,AnolePromoterExpression,25,0.052380952380952375,0.2833333333333333,0.0,0.10471680125752728,3
DBEVAL-V0-026,AnolePromoterExpression,26,0.05952380952380952,0.21666666666666665,0.0,0.10177004891982147,2
